"site_name","date","visit","plant_ID","Miner","GCS","GCS_damaged","GCS_lecan","Helmet","num_flatids","vine_cover","CBB","CBB_den","Obs_roya","roya","lecani","lecani_den","myco","myco_den","snail","snail_den","mite","mite_den"
"MARI2*","8/24/18",1,4,26,0,0,0,0,1,0,86,100,"W",0,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,5,2,0,0,0,0,0,0,0,0,"I",1,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,6,4,0,3,7,0,2,0,59,100,"I",0,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,7,5,0,3,6,0,2,0,22,28,"I",0,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,8,5,0,0,0,0,2,0,0,0,"I",88,0,0,6,0.24,0,0,0,0
"MARI2*","8/24/18",1,9,8,0,0,0,0,0,0,40,100,"I",25,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,10,4,0,0,0,0,0,0,0,0,"W",4,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,11,5,0,3,8,0,0,0,79,100,"I",2,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,12,10,1,3,7,0,0,0,73,100,"W",0,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,13,6,0,0,0,0,0,0,62,72,"I",27,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,14,22,0,2,11,4,1,0,84,100,"W",0,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,15,8,0,0,0,0,1,0,1,7,"I",21,1,0.047619048,0,0,0,0,0,0
"MARI2*","8/24/18",1,16,4,0,0,0,0,2,5,0,0,"I",21,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,17,24,1,3,7,0,1,0,0,0,"W",0,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,18,3,0,2,7,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,19,8,0,0,0,0,0,0,0,0,"I",105,0,0,1,0.04,0,0,1,0.04
"MARI2*","8/24/18",1,20,12,1,2,7,0,0,0,72,100,"W",0,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,2,53,0,0,0,0,12,0,0,0,"I",24,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,3,1,0,0,0,0,2,0,0,71,"I",0,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,4,6,0,0,0,0,4,0,0,0,"I",0,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,5,21,0,0,0,0,1,3,0,0,"I",5,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,6,16,0,0,0,0,1,0,0,0,"W",0,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,7,23,0,0,0,0,12,0,0,0,"W",28,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,8,25,0,0,0,0,31,0,0,0,"W",16,0,0,1,0.0625,0,0,0,0
"JAYU3","8/27/18",1,9,78,0,0,0,0,12,0,0,0,"I",30,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,10,4,0,0,0,0,5,0,0,0,"I",32,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,11,49,0,0,0,0,32,0,0,0,"I",19,0,0,4,0.210526316,0,0,0,0
"JAYU3","8/27/18",1,12,6,0,0,0,0,13,0,0,0,"W",16,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,13,26,0,0,0,0,34,0,0,0,"I",13,0,0,1,0.076923077,0,0,0,0
"JAYU3","8/27/18",1,14,38,0,0,0,0,14,0,0,0,"W",14,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,17,19,0,0,0,0,34,0,0,0,"I",19,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,18,2,0,0,0,0,16,0,0,0,"W",19,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,19,2,0,0,0,0,12,0,0,0,"I",2,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,20,5,0,0,0,0,1,0,0,0,"W",16,0,0,1,0.0625,0,0,0,0
"JAYU3","8/27/18",1,21,4,0,0,0,0,12,0,0,0,"I",21,0,0,3,0.142857143,0,0,0,0
"JAYU3","8/27/18",1,22,0,0,0,0,0,6,0,0,0,"I",30,0,0,0,0,0,0,0,0
"JAYU3","8/27/18",1,23,45,0,0,0,0,36,0,0,0,"W",9,0,0,0,0,0,0,0,0
"JAYU2","8/27/18",1,1,22,6,6,2,4,1,0,0,21,"I",6,0,0,0,0,0,0,0,0
"JAYU2","8/27/18",1,2,14,7,4,0,3,4,3,0,4,"W",14,0,0,0,0,0,0,0,0
"JAYU2","8/27/18",1,3,32,10,5,1,2,10,2,0,1,"W",23,0,0,0,0,0,0,0,0
"JAYU2","8/27/18",1,4,21,9,3,0,3,8,0,0,0,"I",27,0,0,1,0.04,0,0,0,0
"JAYU2","8/27/18",1,6,29,9,6,0,3,1,0,0,1,"W",12,0,0,1,0.083333333,0,0,0,0
"JAYU2","8/27/18",1,7,12,10,5,1,3,0,0,7,85,"W",25,0,0,0,0,0,0,0,0
"JAYU2","8/27/18",1,8,9,8,4,0,6,6,0,0,0,"I",46,0,0,1,0.04,0,0,0,0
"JAYU2","8/27/18",1,9,40,10,4,0,3,5,0,0,0,"W",37,0,0,1,0.04,0,0,0,0
"JAYU2","8/27/18",1,10,23,6,4,1,5,6,0,0,0,"I",75,0,0,4,0.16,0,0,1,0.04
"JAYU2","8/27/18",1,11,2,5,3,2,12,6,0,0,8,"A",95,0,0,4,0.16,0,0,3,0.12
"JAYU2","8/27/18",1,12,35,8,4,2,9,19,0,16,100,"W",138,0,0,4,0.16,0,0,0,0
"JAYU2","8/27/18",1,13,14,7,5,2,3,0,40,0,0,"W",16,0,0,0,0,0,0,1,0.0625
"JAYU2","8/27/18",1,14,45,6,3,1,3,0,2,0,0,"W",16,0,0,2,0.125,0,0,0,0
"JAYU2","8/27/18",1,15,11,8,3,1,5,0,5,0,0,"W",1,0,0,0,0,0,0,0,0
"JAYU2","8/27/18",1,17,55,7,3,1,4,15,0,0,0,"I",2,0,0,0,0,0,0,0,0
"JAYU2","8/27/18",1,18,36,4,3,0,2,11,0,0,0,"W",7,0,0,0,0,0,0,0,0
"JAYU2","8/27/18",1,19,26,8,3,0,5,1,0,3,9,"W",7,0,0,1,0.142857143,0,0,1,0.142857143
"JAYU2","8/27/18",1,22,13,5,2,1,5,2,0,1,6,"W",28,0,0,2,0.08,0,0,0,0
"JAYU2","8/27/18",1,23,20,0,0,0,0,11,10,0,14,"A",21,0,0,0,0,0,0,0,0
"JAYU2","8/27/18",1,24,8,0,0,0,0,4,0,5,66,"A",49,0,0,2,0.08,0,0,1,0.04
"OROC1","8/28/18",1,1,0,0,0,0,0,0,40,0,0,"W",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,2,62,0,0,0,0,7,0,0,3,"A",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,3,6,0,0,0,0,1,0,0,4,"I",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,4,19,0,0,0,0,1,0,0,0,"W",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,5,6,0,0,0,0,0,0,0,1,"A",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,6,31,0,0,0,0,2,50,0,0,"I",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,7,43,0,0,0,0,0,2,0,0,"W",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,8,17,0,0,0,5,0,10,0,1,"A",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,9,3,0,0,0,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,10,6,0,0,0,0,0,0,0,0,"W",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,11,0,0,0,0,0,0,0,0,0,"A",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,12,12,0,0,0,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,13,34,0,0,0,0,4,0,0,0,"W",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,14,2,0,0,0,0,0,90,0,0,"A",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,15,2,0,0,0,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,16,0,0,0,0,0,0,75,0,0,"W",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,17,18,0,0,0,0,0,0,0,0,"A",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,18,23,0,0,0,0,14,1,0,0,"I",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,19,0,0,0,0,0,0,90,0,0,"W",0,0,0,0,0,0,0,0,0
"OROC1","8/28/18",1,20,12,0,0,0,0,23,50,0,0,"A",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,1,13,6,3,3,0,0,0,0,1,"W",16,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,2,5,10,4,6,0,0,0,0,0,"W",85,1,0.04,0,0,0,0,1,0.04
"MARI3*","8/24/18",1,3,44,4,5,8,7,0,0,0,8,"I",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,4,14,6,4,8,4,0,0,4,24,"I",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,5,9,1,5,8,0,0,0,0,0,"W",63,1,0.04,1,0.04,0,0,0,0
"MARI3*","8/24/18",1,6,21,3,4,7,0,0,0,0,1,"W",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,7,15,7,3,2,0,2,0,0,0,"I",8,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,8,33,4,4,4,0,0,0,0,0,"W",211,1,0.04,0,0,0,0,1,0.04
"MARI3*","8/24/18",1,9,7,1,4,8,0,0,0,4,57,"I",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,10,8,5,5,6,0,0,0,0,1,"W",76,1,0.04,1,0.04,0,0,0,0
"MARI3*","8/24/18",1,11,3,5,4,4,4,0,0,2,11,"I",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,12,21,2,4,8,0,0,0,2,6,"W",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,13,9,0,1,9,4,3,0,2,20,"I",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,14,40,2,3,8,6,0,0,23,100,"W",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,15,6,3,3,4,5,0,0,0,0,"I",62,5,0.2,0,0,0,0,0,0
"MARI3*","8/24/18",1,16,42,4,4,9,5,1,0,7,28,"W",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,17,22,1,5,4,2,0,0,0,32,"I",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,18,39,3,4,4,3,0,0,0,0,"W",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,19,20,0,0,0,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"MARI3*","8/24/18",1,20,5,4,3,4,0,0,0,0,2,"W",0,0,0,0,0,0,0,0,0
"LASM3","8/13/18",1,1,17,0,0,0,0,4,5,0,0,"I",45,4,0.16,0,0,0,0,0,0
"LASM3","8/13/18",1,2,0,0,0,0,0,6,5,0,0,"I",26,2,0.08,0,0,0,0,0,0
"LASM3","8/13/18",1,3,15,0,0,0,0,7,10,0,24,"I",52,0,0,0,0,0,0,0,0
"LASM3","8/13/18",1,4,1,0,0,0,0,5,90,0,0,"I",33,0,0,0,0,0,0,0,0
"LASM3","8/13/18",1,5,0,0,0,0,0,9,0,0,28,"I",85,0,0,1,0.04,0,0,0,0
"LASM3","8/13/18",1,6,2,0,0,0,0,1,0,0,0,"I",31,0,0,0,0,0,0,0,0
"LASM3","8/13/18",1,7,8,6,6,2,0,12,15,2,100,"I",87,0,0,4,0.16,0,0,1,0.04
"LASM3","8/13/18",1,8,19,0,0,0,0,9,5,0,0,"I",85,10,0.4,2,0.08,0,0,1,0.04
"LASM3","8/13/18",1,9,11,0,0,0,0,10,60,2,100,"I",45,3,0.12,3,0.12,0,0,1,0.04
"LASM3","8/13/18",1,10,31,0,0,0,0,12,10,2,62,"I",60,2,0.08,2,0.08,0,0,3,0.12
"LASM3","8/13/18",1,11,5,0,0,0,0,10,90,0,0,"W",25,1,0.04,0,0,0,0,0,0
"LASM3","8/13/18",1,12,18,0,0,0,0,17,90,0,3,"W",10,0,0,0,0,0,0,0,0
"LASM3","8/13/18",1,13,8,0,0,0,0,10,90,0,1,"W",34,2,0.08,1,0.04,0,0,0,0
"LASM3","8/13/18",1,14,16,0,0,0,0,8,10,0,2,"W",64,2,0.08,0,0,0,0,0,0
"LASM3","8/13/18",1,15,20,0,0,0,0,25,20,0,0,"W",22,3,0.12,2,0.08,0,0,0,0
"LASM3","8/13/18",1,16,10,0,0,0,0,4,5,7,100,"W",55,2,0.08,1,0.04,0,0,0,0
"LASM3","8/13/18",1,17,12,0,0,0,0,1,0,6,30,"W",32,4,0.16,1,0.04,0,0,4,0.16
"LASM3","8/13/18",1,18,33,0,0,0,0,2,15,0,0,"W",23,1,0.04,0,0,0,0,1,0.04
"LASM3","8/13/18",1,19,12,0,0,0,0,5,5,1,1,"W",28,1,0.04,0,0,0,0,0,0
"LASM3","8/13/18",1,20,8,0,0,0,0,7,15,0,0,"W",11,1,0.090909091,0,0,0,0,0,0
"PONC1*","8/23/18",1,1,102,4,2,0,0,0,0,3,11,"W",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,2,143,0,0,0,0,1,0,0,0,"W",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,3,104,5,2,0,0,6,0,0,0,"W",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,4,62,0,0,0,0,1,0,6,7,"W",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,5,75,6,1,0,0,2,0,10,10,"W",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,6,24,7,0,0,0,3,0,3,5,"W",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,7,49,5,0,0,0,0,0,0,4,"W",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,8,65,6,3,0,0,1,0,0,0,"W",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,9,105,9,4,0,0,8,0,3,46,"W",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,10,71,8,5,1,0,0,0,0,0,"W",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,11,113,8,4,0,0,4,0,2,8,"I",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,12,55,6,3,0,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,13,156,7,3,1,0,2,0,36,40,"I",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,14,64,9,4,0,0,1,0,0,0,"I",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,15,197,9,4,1,0,12,0,0,0,"I",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,16,85,6,4,0,0,6,0,13,21,"I",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,17,173,8,6,1,0,2,0,0,4,"I",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,18,72,6,5,4,0,2,0,0,0,"I",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,19,50,8,5,1,0,1,0,67,100,"I",0,0,0,0,0,0,0,0,0
"PONC1*","8/23/18",1,20,115,6,4,1,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,1,14,0,0,0,0,2,0,83,100,"W",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,2,28,0,0,0,0,1,0,0,0,"A",1,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,3,51,0,0,0,0,0,0,48,100,"I",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,4,87,0,0,0,0,4,0,16,50,"W",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,5,31,0,0,0,0,0,0,0,0,"A",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,6,138,3,2,3,0,1,0,56,100,"I",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,7,66,2,2,4,0,2,0,73,100,"W",5,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,8,32,2,1,3,0,1,0,49,60,"A",3,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,9,36,0,0,0,0,0,0,81,100,"I",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,10,21,0,0,0,0,0,0,28,38,"W",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,11,14,0,0,0,0,1,0,0,0,"W",25,2,0.08,1,0.04,0,0,0,0
"UTUA16*","8/22/18",1,12,38,0,0,0,0,0,0,0,0,"W",17,0,0,1,0.058823529,0,0,0,0
"UTUA16*","8/22/18",1,13,42,0,0,0,0,0,0,60,100,"W",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,14,19,2,2,5,0,0,0,0,0,"A",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,15,22,1,3,2,0,2,0,19,34,"I",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,16,11,0,0,0,0,5,0,25,30,"W",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,17,38,0,0,0,0,0,0,11,19,"A",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,18,29,1,1,4,0,9,0,18,45,"I",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,19,24,0,0,0,0,0,0,3,11,"W",0,0,0,0,0,0,0,0,0
"UTUA16*","8/22/18",1,20,0,0,0,0,0,0,0,0,0,"A",0,0,0,0,0,0,0,0,0
"UTUA2","8/17/18",1,1,0,0,0,0,0,7,1,0,0,"A",251,11,0.44,0,0,0,0,3,0.12
